n,burbuja,quick,insertion,merge
669,355400,24700,24300,44800
670,384400,29200,30100,56500
671,356900,25300,22100,44300
672,352300,23900,23700,45000
673,357000,24900,21700,49100
674,385500,24800,22900,44000
675,371400,25600,25000,52600
676,365600,25700,25400,52000
677,363400,25200,25000,45000
678,368400,24100,21100,45400
679,367900,31000,29900,76800
680,414200,26500,22400,65800
681,422300,25400,29300,46400
682,368500,25000,21000,44700
683,372100,24900,22200,60800
684,370100,30500,31000,63200
685,374500,25300,25200,62400
686,378100,26100,22500,61800
687,369600,25900,25300,63300
688,362500,29800,31900,130200
689,421500,26200,31300,64900
690,371400,26000,31700,62100
691,386100,26200,23200,51600
692,391800,33000,25100,51900
693,384300,25600,26500,68900
694,382200,25800,21900,75000
695,452200,27000,26700,65700
696,380000,28300,23100,71600
697,418200,28600,26200,56400
698,384100,26100,26000,51600
699,385600,27900,27100,59000
700,415500,26400,26300,74800
701,448800,30500,26400,60100
702,385100,26500,25800,52400
703,413100,26200,26000,62500
704,459600,26000,25600,78700
705,403600,25700,32900,138100
706,434000,27000,23100,90200
707,405200,26900,27100,88900
708,401000,26000,25800,65000
709,395500,26300,26000,63500
710,402000,25700,26000,64200
711,433000,25500,25500,61300
712,400400,26100,26700,71500
713,404400,26200,25700,129100
714,407800,33600,32400,88700
715,469500,26400,23700,71800
716,399300,26100,25800,62900
717,414400,29500,26100,90900
718,453500,25800,32800,69400
719,394900,27500,23900,64300
720,407600,26700,23400,63500
721,416200,27200,27800,68700
722,441900,26100,26100,72300
723,414800,27300,26200,70900
724,440100,26900,23300,71000
725,412300,26800,29500,66300
726,404300,27900,24700,67800
727,416200,26800,26200,59000
728,404300,27400,27300,53800
729,417800,32200,30900,66200
730,422700,26400,30100,148500
731,444800,26900,36100,115300
732,460000,38600,34500,118900
733,447300,33600,34300,100400
734,486500,38100,33900,91300
735,456000,33800,35900,112300
736,483600,51800,35500,92600
737,550400,27500,35000,70800
738,435500,32400,28200,66600
739,490900,33200,32400,88700
740,510200,27000,27200,70300
741,428300,27300,27300,55100
742,430500,26400,22800,55700
743,425200,28700,24700,67300
744,433800,31300,30800,68500
745,429400,27300,27600,68400
746,434500,26700,32400,72200
747,434900,28200,34500,65800
748,439700,28400,27300,71100
749,432300,27000,26700,70300
750,432600,28200,28400,67400
751,431500,26600,27000,56800
752,439700,30600,33500,91700
753,438200,28100,23900,66600
754,440600,27500,25000,88000
755,445400,27400,31300,66800
756,471900,27600,24200,66200
757,439300,28100,25100,66400
758,458000,28400,28800,68900
759,442000,28300,28200,67500
760,459000,28200,24800,84300
761,445700,30400,25400,69900
762,446000,28600,24600,66400
763,449000,34100,25300,67400
764,476900,28200,28200,72000
765,460900,28800,28800,67900
766,451900,28500,27500,67900
767,454200,28300,25000,80200
768,464600,28600,28500,56500
769,460900,34800,29400,95900
770,450100,28400,25200,73100
771,457900,27800,25400,66800
772,463300,31100,28400,71000
773,463800,28600,27900,67300
774,464700,28800,28200,66500
775,458700,28300,24200,58700
776,460500,39900,24600,69700
777,462700,31100,24800,81400
778,507100,28900,25700,69900
779,465900,28300,24900,72800
780,468300,28800,24700,69100
781,561500,28600,25800,59300
782,474600,29000,28500,97400
783,473900,28500,28500,69400
784,499800,29100,28800,69600
785,484700,36200,29200,97200
786,513100,29900,29200,98400
787,486800,29300,26200,61100
788,483400,27800,27800,86900
789,571500,29300,39500,71200
790,480500,28700,29700,72400
791,485900,28700,35900,113500
792,482400,37200,31900,61100
793,533400,30200,31400,71700
794,507900,41500,37000,76500
795,488600,28600,25100,89600
796,494600,36500,27600,91500
797,547400,29100,25800,72000
798,490700,30100,37600,72600
799,492500,29100,34600,71900
800,518100,29600,31100,118800
801,490300,30100,28600,113900
802,567700,30100,26800,68700
803,483600,29300,25700,70500
804,484800,28800,37300,72900
805,504000,29700,26300,103600
806,495700,30000,29500,73400
807,496200,65300,38700,71600
808,521400,36100,29100,117400
809,561900,38500,39000,73800
810,532900,30100,38500,105500
811,529800,30200,29700,67600
812,534300,29900,26600,71200
813,525700,33300,36300,103800
814,496300,32100,30500,102200
815,505000,34200,31400,114600
816,502600,30400,26200,73000
817,582500,29600,26100,71900
818,519800,31900,28100,73600
819,509500,31500,27400,74000
820,519300,30300,29800,76700
821,506900,42500,38100,72800
822,524800,31300,39900,72500
823,561300,31500,37900,63000
824,585700,38100,30000,72700
825,607500,37300,29300,78100
826,503000,40500,30800,71500
827,539500,37800,30500,71900
828,519300,30700,29900,84500
829,528400,37300,27600,74200
830,508900,32900,30400,117300
831,526200,31300,30800,73700
832,522300,29600,29300,84900
833,530300,34900,33600,84500
834,652900,39400,30200,56300
835,545100,43900,41900,57300
836,556900,32100,31500,74300
837,610000,41500,31100,73900
838,533100,30700,28600,57700
839,523500,31200,31400,88700
840,531500,31800,27500,57200
841,525300,41800,31100,56400
842,632000,35600,32500,58000
843,657500,31700,42300,98900
844,567200,31800,30800,79900
845,552200,33600,39000,82300
846,556400,40800,38400,80900
847,552400,39600,28800,59300
848,663500,38700,39600,85700
849,589400,32400,38600,58900
850,556500,39300,34700,75600
851,600900,42500,40500,78200
852,588000,31900,31100,57500
853,551600,31700,29800,59000
854,535200,31400,30800,58400
855,559300,31300,30300,57700
856,605600,30800,27000,57000
857,551900,144100,38000,59400
858,552800,31900,27300,59600
859,582100,32500,31800,75200
860,583700,31700,30600,58900
861,542500,31900,28500,80500
862,564000,33300,31800,60100
863,545500,31600,31100,58600
864,563000,31500,30900,60100
865,587800,34600,44100,59800
866,634800,33100,38000,60100
867,588400,34000,37300,64100
868,564000,32100,32400,58900
869,562100,31700,31400,59500
870,559100,31300,30200,58600
871,561200,31900,31500,69300
872,634200,39000,32200,61500
873,571900,33100,31700,61000
874,577900,31800,28600,58500
875,577900,31000,31500,59000
876,574400,31600,32000,58600
877,565200,31100,28200,59500
878,572500,32700,32500,60100
879,572300,31500,27300,58800
880,590200,38600,33900,83500
881,578000,37700,40100,59300
882,609800,33100,29300,58900
883,568500,31800,32200,58400
884,576500,33800,33000,59300
885,587100,32300,31900,58600
886,571700,31900,31500,59100
887,600000,32000,31600,60200
888,580900,39600,32900,61300
889,606100,33200,32500,60600
890,580200,33100,33000,61800
891,582800,31500,27900,58500
892,582800,33200,33000,60400
893,589300,33600,33000,60100
894,585200,32300,32200,63700
895,585100,33500,29600,60400
