n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
760,415700,300,348600,27200,37900,45400,36000,600,69700,53000,25400,29600
761,416200,300,352300,27600,35000,42200,35700,700,68500,64000,27400,31100
762,382700,200,351500,27100,35200,39300,49100,600,68500,51400,25800,28800
763,612900,300,341500,25800,33500,38500,36300,600,67000,45800,24400,35500
764,399500,200,343900,28600,33800,40400,38400,900,67200,57500,26600,36400
765,385500,200,343200,26600,38000,40600,35800,600,67400,50200,26000,25400
766,375500,300,352300,27900,42100,43300,38300,800,69600,53800,32000,34200
767,386900,400,353200,27700,36600,41400,38700,600,70100,52900,28300,29800
768,381900,300,356900,27500,37300,41500,37700,600,68400,53400,28400,38400
769,387300,300,366500,28200,36900,40300,39300,700,69900,57700,24900,28800
770,382500,300,357600,28300,43600,42000,35400,600,70000,56000,25500,34600
771,381700,200,359100,29700,34900,39100,37100,600,69000,50400,36900,26200
772,371200,300,360400,27600,35800,41000,36000,800,68600,48100,23800,29000
773,388500,300,352900,28100,36100,41000,36500,700,69100,52400,29900,37200
774,405900,200,352600,28700,40900,42600,37500,600,69000,53200,24300,26100
775,393100,200,355000,27600,35200,40200,75300,700,73900,48700,24200,29300
776,385500,300,363400,28200,36600,40400,38700,700,72400,48800,40200,48700
777,399900,300,359400,27600,36500,43300,37000,700,69900,52000,24800,28800
778,414400,300,366400,28000,36200,41900,39800,700,69700,62700,43000,29800
779,403900,200,358100,27900,37100,39700,38900,700,69800,52200,24600,29600
780,404200,300,363900,27200,35500,41600,38300,3500,70100,67300,23000,29500
781,414500,200,363700,28500,42100,46900,38000,700,71800,53600,34400,35200
782,395900,300,361500,27700,35600,39900,38200,700,70600,53400,25500,34400
783,468900,500,379900,34300,46800,90000,82600,1500,116400,53200,27300,38300
784,388700,300,374500,29100,39100,43500,58000,700,72500,53300,31200,32000
785,391900,300,370700,29300,41500,41900,39000,700,73100,55300,26200,30600
786,519200,300,365500,29400,40800,41000,39000,900,71400,54300,33300,31900
787,418600,200,369700,27400,38500,43300,42100,600,73100,75400,34200,34000
788,445900,300,382500,30300,46200,61000,40800,1000,73300,60900,26600,42000
789,399800,200,366800,27700,37300,43000,39600,700,71800,53700,24900,29900
790,412100,300,369300,27300,35500,41500,38500,600,71800,52300,24600,29600
791,428500,300,375900,28100,36300,42800,41000,900,74000,61800,72700,41100
792,417900,400,368200,27900,35100,40800,37700,600,72200,51100,30200,32300
793,392400,300,392500,28900,44100,44800,40100,800,74800,55000,25700,36000
794,405000,300,366000,27900,35500,40500,40100,600,71100,51200,25800,29900
795,382700,300,374400,27700,34700,40300,46500,600,71000,52500,29900,28600
796,396600,200,377300,28600,36900,42300,41400,700,71700,1685100,20100,23700
797,396100,600,388500,31000,38900,44400,40600,700,75700,53600,20300,25200
798,398500,300,397400,29700,39300,45700,40800,800,75000,51900,19800,33200
799,413100,600,384500,29100,38600,42200,40300,700,75100,46600,18300,24300
800,414300,300,385900,28600,37600,43600,39900,700,75200,53900,20900,24900
801,414700,300,388200,30100,39500,46500,42800,4600,75400,54100,18600,23300
802,421700,300,387600,28900,37300,43100,41300,700,75700,49200,20600,22700
803,433800,300,383200,27900,41700,42300,40000,700,76300,47100,18400,26700
804,418300,300,381400,27900,41500,46200,38900,800,74400,47900,18500,23800
805,421100,400,393400,29200,38600,45000,41100,700,81200,46600,27800,24600
806,476100,300,393400,30300,38000,45100,40800,800,76600,48800,19400,25200
807,430600,300,392400,29200,42200,58900,42600,700,76500,54800,19000,24000
808,429800,300,393300,29400,36000,43200,43200,700,76400,49200,18800,29800
809,417500,300,395800,28600,36500,42900,41300,700,77100,48500,18900,24900
810,439900,700,395900,28900,39000,46700,41900,800,77600,49900,18900,24700
811,427500,300,397500,29400,37700,44000,41700,700,81400,48800,21200,24400
812,438900,200,399900,28800,37000,42500,42900,700,76900,46600,18900,23700
813,438100,300,399100,30100,37000,44300,42600,700,82800,50200,27200,25200
814,421500,500,399600,29600,37900,43600,43500,700,79700,50100,19600,24300
815,429100,300,400500,29600,38800,44800,42200,700,78200,49400,20900,25900
816,442100,200,395500,28700,37300,43800,40900,700,76900,47500,19500,25100
817,407000,200,396600,29000,37000,42600,41400,800,76300,45500,18600,24600
818,432600,300,401400,29300,43700,46400,43600,600,78100,66800,21300,25100
819,435400,300,405900,30500,38500,45700,42400,4200,77000,46200,17600,22900
820,395100,300,406000,30000,39300,43300,40800,700,94700,48600,19000,26800
821,422600,200,396900,29200,37100,43700,42000,800,77600,48000,18900,26600
822,436500,200,398500,30400,53600,45900,46400,700,77900,48500,22400,25100
823,434300,300,393200,30900,39200,45100,42000,700,77400,46900,18800,23500
824,430400,300,392700,29000,37600,43600,41300,700,76300,71300,18300,28700
825,458300,300,401200,28800,37100,43700,43000,900,78200,50500,27300,25300
826,433800,300,404900,28800,50200,47600,43700,700,80700,46000,21800,25300
827,442800,300,415600,29900,39900,47800,44800,700,82100,50700,21300,26200
828,436700,300,415000,31800,40100,55200,44800,700,114300,75800,21100,24600
829,433600,300,417400,30100,37800,43400,42400,700,80500,52800,20100,27400
830,463200,200,417500,30900,41500,48400,42100,700,80600,49800,19900,24100
831,466100,300,417900,30300,39500,46900,45200,1000,80700,52400,20300,24500
832,468700,300,410000,29900,44700,46800,43500,700,79400,52500,19500,30500
833,447300,400,419400,30700,49100,44000,41400,700,79700,51400,19500,26200
834,431300,200,417700,28400,46700,41400,49200,700,79800,50300,21400,25600
835,466200,300,411300,31700,39800,45800,43200,700,79800,50000,20000,24400
836,467600,600,420100,30400,36800,44900,45200,1000,81900,49700,19100,24600
837,461200,300,425800,30500,41200,46700,44800,600,82400,58500,20200,25100
838,456200,400,426300,30400,38200,49700,43300,800,80300,50300,19600,24900
839,457700,300,416700,29800,37700,44600,42800,700,80500,49600,19600,67900
840,439800,500,420600,27500,35300,73300,41100,900,81100,50600,20400,37800
841,443000,400,425700,31200,44100,45800,44100,900,82800,51200,29000,26400
842,439700,300,426400,29900,37800,44500,44400,800,82900,51100,20300,28200
843,429300,300,428500,30100,41200,46000,45600,700,83700,54900,20400,25200
844,507900,300,429600,30800,39800,45200,43400,800,83300,52100,32100,26800
845,452000,300,431600,30300,42100,50800,43800,700,84000,54700,21400,25500
846,456800,300,431700,29800,39200,44600,46000,600,99500,48700,20400,33700
847,457600,300,424700,30900,38000,44700,45400,700,83900,62400,22200,26400
848,424400,300,439200,31400,47600,62900,45700,800,84600,50100,22700,26900
849,444800,200,432600,31000,44500,46100,47100,700,84300,52100,20100,25700
850,469700,300,438800,45500,47300,46000,46800,900,85200,52200,19800,29100
851,480000,300,440400,30100,43600,43400,44100,800,82900,52000,27100,30000
852,450300,300,436600,31800,37700,47100,46600,1000,82900,50100,22500,28400
853,497700,300,435500,31400,39100,45900,46300,800,85600,50000,19400,29500
854,461000,200,440300,31500,40400,44200,44500,700,85000,49300,19700,26200
855,443900,400,442000,31800,45600,49100,45300,1500,109000,54600,20700,35200
856,463100,300,446000,31200,46800,46600,46200,700,85700,52900,21900,28100
857,476800,300,442700,30600,39000,46400,46900,700,85900,50200,20900,25900
858,462300,300,448300,30500,39800,45100,45500,700,86300,50900,30000,24400
859,467700,300,445500,31400,53500,47200,47800,700,86600,54300,21300,26400
860,458300,300,448700,31200,40700,46000,43800,800,86600,54600,20700,26100
861,444900,300,446400,32800,39900,47100,46100,700,86500,54200,21000,32400
862,457600,300,450900,31000,45500,46300,45500,700,86900,53500,20700,26300
863,457600,300,449000,31100,47600,45700,45200,1000,87000,51700,20500,31400
864,465000,300,450800,31400,39800,49500,47000,1100,87000,53400,22700,26900
865,466100,300,450600,30700,43100,49900,47800,800,89800,52800,49300,28400
866,466900,200,451800,31600,40600,47200,47700,800,87900,53300,30700,26100
867,462600,300,442800,30000,44500,44800,45600,700,86100,51500,19800,24900
868,452600,300,443700,31000,39500,46200,45900,800,85700,49500,21100,24500
869,459500,400,458300,32600,45000,48200,46600,900,88400,55100,22000,28600
870,480700,300,456700,32300,40200,54200,49400,900,88600,53400,20600,29700
871,451400,300,445700,32400,44800,50600,47500,900,88600,54000,20700,28800
872,487900,300,459800,32500,44500,48700,48600,800,88600,55000,23100,27900
873,490000,300,459200,32200,39800,49300,46800,700,88600,75000,21000,26300
874,493400,300,459700,32000,41000,47500,47000,800,89300,59600,20500,35300
875,502100,200,464300,34500,39900,44500,46700,800,87200,50100,19300,25400
876,492800,300,452000,30700,40900,47400,51000,800,102200,54500,22900,26900
877,478000,200,454000,31300,42200,48500,47300,700,88000,53200,21100,26000
878,473500,300,454300,31100,42600,46300,48400,700,88000,52400,20100,24800
879,479500,300,444800,30500,44400,47200,45600,800,86000,53500,19700,24800
880,492100,300,463800,29500,41300,48000,48000,800,88400,53400,20200,26000
881,459800,300,458100,29700,39700,51200,46100,700,90600,63800,23200,27900
882,490100,300,456300,31900,44900,46200,47000,900,88400,52700,19900,25500
883,472600,300,459900,31600,39900,61700,48900,800,88700,53100,20400,27900
884,490100,300,460700,32000,44100,46400,49300,700,110400,55400,20500,27000
885,513200,300,476100,31700,48300,49300,49600,800,89100,53600,21300,29200
886,540000,300,474400,32200,42900,48300,48200,700,92000,52800,22000,26800
887,508700,300,472800,30800,41400,47000,47900,700,91700,58600,23200,26500
888,518000,300,474400,30700,45200,47900,50500,1000,92100,54800,25700,28800
889,538000,400,475300,33500,42400,47500,50300,800,92200,55100,23100,26900
890,465900,200,477600,35200,40100,58200,49400,800,92400,51500,20200,37400
891,494500,300,478300,32200,42100,48100,49100,700,92600,53300,43200,26300
892,501600,200,477800,30500,42400,48200,50600,800,93300,54400,21800,25300
893,479800,300,1260000,86300,117300,150300,131800,1900,93300,54500,22400,26500
894,524900,300,500900,32000,42400,48900,50100,800,96400,54100,21000,26100
895,496000,500,480300,33100,43200,48300,50700,800,93300,53800,21700,27200
896,539800,300,485600,31800,42400,51500,51100,2800,281200,129000,21600,30500
897,524700,300,484900,32500,49100,51000,49500,900,93600,54000,27800,28200
898,503800,300,485500,32800,44100,50800,50100,800,94400,53300,23300,27600
899,497100,300,486300,31800,42300,52500,49400,800,94000,56000,20900,36000
900,543700,600,487300,31800,44100,50000,53400,800,94000,51500,29900,25600
901,491200,300,487800,32100,43300,49500,51000,700,94400,82800,27200,32100
902,501000,300,488800,33900,43200,47900,51400,700,95000,53900,22100,26800
903,486800,300,503100,33800,45100,49800,49300,1000,95000,54200,21200,26200
904,522700,200,491600,32000,49200,50400,52800,800,95000,64500,23700,27700
905,503000,300,494200,34100,47400,49600,51200,800,94900,53500,21600,27400
906,495700,400,494000,32900,47900,51700,51300,800,95900,55200,30400,28400
907,504100,300,495200,32000,46100,51700,51000,800,95900,58000,21600,27100
908,516900,300,498300,32600,43700,48600,50700,700,95900,55000,22300,35400
909,505100,300,499600,32300,44200,51900,51800,1300,97800,88000,22400,49200
910,517600,700,502000,33500,42800,53900,51900,700,96900,64100,29800,35600
911,518400,300,500100,33400,41000,50300,50700,1100,96900,67800,29200,34600
912,505600,300,488900,32200,43700,47600,49500,800,94800,63500,31500,35700
913,512500,300,490000,32600,41700,51500,50100,700,101800,56200,22800,26300
914,497500,300,480600,35000,47300,48800,50000,900,94900,55400,21000,27200
915,515700,300,493400,32300,41500,47400,70500,800,95100,58000,24200,29500
916,533100,300,510800,34000,42800,51000,51900,900,97500,55700,29100,26900
917,529800,300,494600,31700,41500,47500,52500,800,97900,56000,22000,36300
918,496400,300,497700,32000,40100,46600,50000,800,95700,53500,21400,26600
919,547300,300,507700,30100,41100,48700,51700,800,95400,51600,21800,25500
920,512000,200,497800,34000,41600,48500,53100,900,96200,57600,22800,48800
921,513200,700,510300,31800,43400,49100,52700,700,96300,56300,21700,26800
922,526300,300,502200,33000,40200,47200,51300,700,109100,55400,24100,30400
923,540200,300,512400,32700,48500,51100,53500,900,98800,54800,22000,27100
924,548100,800,506000,33200,41500,48600,51300,700,97500,66900,21600,27500
925,514900,300,504200,31900,46500,47800,49200,700,97200,54900,23100,27200
926,527300,300,503300,31100,43200,52200,52600,700,104100,52400,31100,26200
927,559300,300,510400,32900,41600,49200,52300,800,97500,56100,21400,26600
928,524400,300,512500,32800,43200,50600,52700,800,97900,56300,21000,31600
929,513600,300,507400,32400,42500,48500,52200,800,98100,54900,21500,27200
930,494900,300,508700,32100,42600,50900,53000,800,98200,55200,23600,29100
931,512100,200,521400,31700,42700,50000,54100,900,96200,54500,21400,28000
932,533200,400,504600,33500,46800,47700,118400,1400,304100,171600,28400,39500
933,512400,200,523100,34100,44200,61800,54000,700,101400,55800,23200,28700
934,515500,300,524800,32100,47900,52600,54100,1000,101400,56300,22400,30100
935,556100,500,527100,33800,44200,61300,56900,700,101900,81100,24200,29100
936,541500,300,527500,33100,43500,50300,54400,800,101800,56300,21600,28300
937,564800,300,529400,33000,43800,50800,55900,700,101800,56500,26400,28400
938,560600,300,520000,33500,41500,49200,53600,700,99600,91000,22900,40200
939,586400,500,505300,32300,41100,47200,52700,700,99800,54700,22300,33700
940,543500,300,520200,35000,45300,51300,54700,800,100600,57600,22700,28900
941,580800,400,520400,32400,48300,51400,54300,700,100300,58400,21600,45600
942,562600,300,521300,37800,44900,51900,55500,800,100700,58900,21300,26300
943,534700,400,522500,34100,42900,51400,53700,700,104500,71600,26500,28400
944,543700,400,531900,32600,46300,51100,54000,800,101000,56200,21400,27300
945,541800,200,524600,32400,43000,49900,54800,800,100900,52900,23900,28900
946,535000,200,525200,33000,45100,49000,56600,800,107200,55000,23800,28300
947,554000,300,528300,32800,42400,50300,54700,800,101900,56400,22100,27900
948,568900,400,527900,33200,44000,49500,56600,800,101400,67500,22900,34600
949,544500,300,526600,31600,41600,52400,52700,1000,104900,62900,21700,26900
950,546700,300,531400,36100,43100,50400,53000,800,106400,56600,29100,29800
951,535500,600,596100,33400,42900,52700,54700,800,102300,53400,21800,27800
952,552000,300,534000,32100,42600,49500,56300,800,105700,60200,24100,40100
953,553600,300,534900,34400,48500,55400,55600,800,102900,66900,23400,28200
954,582100,800,545800,35100,44400,50200,54900,800,102800,56500,22100,28200
955,546900,300,536900,34700,49500,51100,53000,700,103400,54600,23600,27600
956,581500,300,536800,33500,48600,53500,54400,800,106400,53700,24600,28600
957,552300,300,1060600,32900,51300,53700,58000,800,107100,57400,24900,28900
958,562900,300,551600,34300,50500,53000,56000,1000,106300,68300,22400,30400
959,561300,300,545800,35500,49800,51300,55800,1400,104300,56200,21700,29000
960,568300,400,541400,33700,44900,55900,55400,700,104600,55800,22800,27400
961,654900,500,558800,36500,48000,53600,57300,800,108100,72700,22900,27900
962,556600,400,562800,36000,45300,56400,58400,800,110000,69400,39400,45900
963,603800,500,557200,35600,43900,53400,57600,800,107400,57900,22700,28300
964,581500,400,581100,43700,56100,83000,82500,900,107300,58100,24200,49200
965,622600,600,660000,45700,72800,88000,66800,1100,108400,65900,52200,30400
966,627100,800,651200,34500,50100,54900,56900,800,108300,60300,24100,29100
967,549600,300,568500,33200,43300,53400,58400,1400,118800,88400,40700,39600
968,563400,300,618600,35200,48400,57500,84500,1100,109300,64600,24500,28700
969,566800,300,563500,35400,47200,52700,59800,800,108900,57500,22800,28200
970,582700,300,565300,35900,51900,57500,57900,800,109200,58900,22700,28600
971,563900,300,566400,35500,52000,51300,57100,2400,155500,97800,48600,32700
972,575100,300,640800,35400,44600,51200,59500,800,109600,58700,23200,28300
973,566800,300,571300,33500,52400,54900,54600,900,109400,59900,23700,33400
974,607500,400,570500,36000,43900,56700,57600,1100,109700,57000,23300,50100
975,605200,300,572300,34100,44900,63500,58900,1100,116600,59300,23300,30400
976,569400,300,573500,36200,44400,101700,92700,1800,184000,58400,23200,28900
977,571100,300,683500,46300,79300,93700,58900,700,110800,74000,31900,38800
978,603800,500,597800,42000,60100,58100,60700,1000,110300,89900,30700,31700
979,596700,300,579100,35900,44400,55100,57600,800,110800,58900,24100,31000
980,588200,400,577900,34900,47500,53500,59500,700,111300,58100,24400,29100
981,601400,300,572900,34100,43700,55500,58000,800,109100,56800,23500,29200
982,550200,300,578500,35100,45400,53400,57800,900,111700,58600,34000,33200
983,591000,300,588200,34800,47400,52200,80000,900,111400,64500,23300,28800
984,566000,300,583900,35800,50600,72900,59400,1000,112000,61700,24100,29500
985,561900,300,582500,34200,46000,52800,61200,800,112000,56100,25200,30600
986,579800,300,583600,36200,47000,59000,59500,1400,112500,63000,24700,42700
987,627800,300,585300,34900,52100,53700,60400,900,112500,59000,24500,28600
988,571700,300,586700,35700,45800,53400,60800,4300,113000,56700,22900,33200
989,573400,400,589300,35500,46200,56300,61000,1400,113000,61900,22900,30000
990,603100,400,588800,35600,46600,53700,59300,900,113200,58900,24100,29100
991,627800,300,590000,36100,46100,55800,61600,1000,113900,57100,22300,35900
992,588600,300,578300,35300,51600,52800,58400,800,111200,59900,22800,29700
993,580200,400,579400,34700,45800,56800,60500,900,116500,58700,23200,28800
994,587200,400,627600,35700,47400,57300,66000,800,114200,60800,24400,29300
995,580400,300,596800,35900,53600,61300,60100,800,114500,60600,25200,30400
996,637900,300,597400,36800,47300,55100,60500,800,114600,60400,24300,29500
997,597000,400,597200,36100,45900,94900,95000,1100,114700,61500,23600,29700
998,603800,400,599100,37400,44900,52800,62200,800,115000,62400,24500,31100
999,612300,300,600400,34400,48300,54100,62600,900,115800,68300,25400,30700
1000,586900,300,602500,35800,46900,68000,60800,5000,115600,71100,25300,30900
