n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
208,43100,100,27200,7400,9600,10400,4000,400,6700,11900,10800,7100
209,39100,100,29400,8200,9000,10100,4500,300,6900,14600,7700,7900
210,43500,100,28100,7900,10000,11000,4000,300,7000,19400,6200,8300
211,47100,200,28000,7600,10400,9700,4300,500,7300,13200,12100,7800
212,41700,100,28600,7800,9500,11500,4400,200,7000,13800,8900,10800
213,42800,100,28200,7400,9200,9600,4100,300,6900,12100,6200,7800
214,41700,200,27800,7300,9400,10800,4300,500,7300,16700,6100,8200
215,44300,100,30900,8400,10900,12600,4300,300,7200,12800,6000,8200
216,46100,100,30700,7500,14300,10300,5900,300,7100,12700,6000,11300
217,41200,300,29700,8000,9900,11500,4300,300,7300,18500,6300,8200
218,43100,200,29900,7700,9600,10500,4300,300,7400,12600,10000,8200
219,47800,200,30300,7600,11000,12000,4300,200,7400,12400,6100,11400
220,43300,200,30800,7900,11500,11000,4500,400,7800,14200,6400,8400
221,45900,200,30700,7700,9900,11500,4500,300,7600,19700,6600,8300
222,50500,200,30700,7900,9800,11100,4400,300,7700,13000,11000,10300
223,43500,200,31700,8100,10800,12700,4600,300,7600,12800,6000,8000
224,52500,100,31400,7600,9900,11300,4500,200,7600,13300,6600,11400
225,53600,100,32000,7900,11100,12700,4500,200,7800,19100,6100,8000
226,46200,100,32600,8500,10800,12900,4900,400,8100,13200,6900,8300
227,51500,100,32700,8800,11100,12500,5200,200,8200,15000,13600,9800
228,45500,200,33000,8500,11600,13700,5100,300,8200,13500,6900,12300
229,46800,100,33500,8800,11000,11500,4800,300,8300,15500,6500,8800
230,55800,400,33200,9200,10800,11700,5100,300,8300,18900,6600,8600
231,49500,100,33600,8300,11000,11800,5300,300,8000,15800,6500,8300
232,50600,100,34000,8400,10800,11700,5000,1700,7900,15800,11100,7900
233,48400,100,34700,8500,10200,12200,5200,300,8500,15100,7300,8800
234,49100,200,34800,8300,10000,10900,5000,300,8400,13600,6700,11500
235,52200,200,35100,8900,11700,12400,5300,500,8800,14800,6700,8500
236,49700,300,35200,9100,11300,13200,5500,300,8300,18200,6500,12000
237,48200,100,35800,8800,11100,12500,5200,200,8400,19700,6600,8500
238,61500,300,48000,9000,11300,14600,5400,700,11900,23600,18800,14800
239,83500,600,37400,10100,11000,13100,6200,300,8700,16800,9100,9300
240,55000,200,38900,9500,12600,12600,5400,300,9300,25400,6500,30400
241,52700,200,36500,9000,11000,12800,5400,500,9200,15200,7300,12000
242,58300,200,37600,9200,11600,14000,6700,300,10000,20000,8200,9400
243,51300,200,37800,11100,17700,16100,6900,400,9500,19100,6800,8600
244,58600,200,37200,9500,11600,16500,5400,300,9000,14300,14900,9800
245,59400,300,39900,9200,12000,13600,5500,300,9000,14000,11400,8800
246,61500,300,39600,9100,11500,12700,5400,300,9000,15000,12400,9300
247,55900,200,38000,8500,13900,12600,5200,300,9800,16800,12100,9100
248,60100,200,37800,8600,18800,21600,7100,400,9700,18400,12900,9200
249,68400,300,46400,12600,17400,20300,8300,600,13800,28300,24200,12900
250,64600,100,39400,9600,12000,14100,6300,300,9400,16400,7500,16200
251,62700,200,39600,12200,13500,13600,5600,300,9600,18700,7900,14700
252,61100,200,40300,10500,12000,13700,5700,300,9600,18900,7900,16900
253,62300,200,40700,9100,11900,14200,5500,200,10300,15900,7000,12600
254,61400,100,41000,9900,12700,14100,6000,300,10000,15200,7300,12100
255,64900,300,42400,11000,15000,13400,6200,300,10100,21500,7000,9000
256,56800,100,41400,10000,12300,13500,5900,300,10100,22400,7700,9700
257,66600,600,48600,11700,11600,13400,8300,200,9800,25400,7400,9700
258,60100,200,42000,9500,12300,14600,6400,300,9900,21500,7500,9400
259,61100,200,42000,10000,12300,14000,6500,300,9900,22500,7700,10000
260,58700,200,42700,9600,13300,14300,6000,300,9900,21600,12200,10000
261,61200,200,48400,11400,15600,14900,7100,400,10100,17100,8900,9800
262,61400,200,43400,11300,11900,13200,6000,600,10500,17300,7700,10600
